ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2
2026-01-02T09:28:10+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
----------------------------------------------------------------------------------------------------------------------
Benchmark                                                            Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------
Benchmarks::Base::GetNodeID/1000                                  5078 ns         5022 ns       112000 items_per_second=199.111M/s
Benchmarks::Base::GetDepthID/1000                                  871 ns          854 ns       640000 items_per_second=1.17029G/s
Benchmarks::Base::GetNodeEntities/10000                           2451 ns         2459 ns       298667 items_per_second=4.06695G/s
Benchmarks::Base::GetNodeEntities/100000                         30352 ns        29994 ns        22400 items_per_second=3.33395G/s
Benchmarks::Base::GridSpaceIndexing_GetPointGridID/1000           1229 ns         1228 ns       560000 items_per_second=814.545M/s
Benchmarks::Base::GridSpaceIndexing_GetBoxGridID/1000             8317 ns         8545 ns        89600 items_per_second=117.029M/s
Benchmarks::Point::Create<3, false>/10                           0.620 us        0.614 us      1120000
Benchmarks::Point::Create<3, false>/20                           0.695 us        0.698 us      1120000
Benchmarks::Point::Create<3, false>/50                            1.42 us         1.40 us       448000
Benchmarks::Point::Create<3, false>/100                           1.93 us         1.93 us       373333
Benchmarks::Point::Create<3, false>/1000                          16.1 us         16.1 us        40727
Benchmarks::Point::Create<3, false>/10000                          393 us          390 us         1723
Benchmarks::Point::Create<3, false>/100000                        5202 us         5312 us          100
Benchmarks::Point::Create<3, false>/1000000                      42085 us        42279 us           17
Benchmarks::Point::Create<3, true>/10                             1.30 us         1.26 us       560000
Benchmarks::Point::Create<3, true>/20                             1.72 us         1.61 us       407273
Benchmarks::Point::Create<3, true>/50                             5.63 us         4.88 us       112000
Benchmarks::Point::Create<3, true>/100                            9.01 us         7.11 us        74667
Benchmarks::Point::Create<3, true>/1000                           42.5 us         35.4 us        17231
Benchmarks::Point::Create<3, true>/10000                           320 us          305 us         2358
Benchmarks::Point::Create<3, true>/100000                         3304 us         3301 us          213
Benchmarks::Point::Create<3, true>/1000000                       17666 us        17912 us           41
Benchmarks::Point::Create<6, false>/10                           0.696 us        0.698 us       896000
Benchmarks::Point::Create<6, false>/20                            1.13 us         1.12 us       640000
