ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace

2026-01-02T09:37:46+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
Benchmarks::Base::GetNodeID/1000                                       5026 ns         5000 ns       100000 items_per_second=200M/s
Benchmarks::Base::GetDepthID/1000                                       871 ns          872 ns       896000 items_per_second=1.14688G/s
Benchmarks::Base::GetNodeEntities/10000                                2452 ns         2455 ns       280000 items_per_second=4.07273G/s
Benchmarks::Base::GetNodeEntities/100000                              30323 ns        30692 ns        22400 items_per_second=3.25818G/s
Benchmarks::Base::GridSpaceIndexing_GetPointGridID/1000                1301 ns         1311 ns       560000 items_per_second=762.553M/s
Benchmarks::Base::GridSpaceIndexing_GetBoxGridID/1000                  8382 ns         8580 ns        74667 items_per_second=116.553M/s
Benchmarks::Point::Create<3, false>/10                                0.612 us        0.600 us      1120000
Benchmarks::Point::Create<3, false>/20                                0.688 us        0.698 us      1120000
Benchmarks::Point::Create<3, false>/50                                 1.42 us         1.41 us       497778
Benchmarks::Point::Create<3, false>/100                                1.97 us         1.99 us       344615
Benchmarks::Point::Create<3, false>/1000                               17.8 us         17.6 us        40727
Benchmarks::Point::Create<3, false>/10000                               410 us          417 us         1723
Benchmarks::Point::Create<3, false>/100000                             5290 us         5162 us          112
Benchmarks::Point::Create<3, false>/1000000                           43040 us        43945 us           16
Benchmarks::Point::Create<3, true>/10                                  1.25 us         1.25 us       640000
Benchmarks::Point::Create<3, true>/20                                  1.73 us         1.65 us       407273
Benchmarks::Point::Create<3, true>/50                                  6.00 us         5.31 us       100000
Benchmarks::Point::Create<3, true>/100                                 9.14 us         7.32 us        74667
Benchmarks::Point::Create<3, true>/1000                                43.0 us         37.7 us        18667
Benchmarks::Point::Create<3, true>/10000                                312 us          311 us         2358
Benchmarks::Point::Create<3, true>/100000                              3267 us         3217 us          204
Benchmarks::Point::Create<3, true>/1000000                            17125 us        17530 us           41
Benchmarks::Point::Create_OversizedModelspace<3, false>/10            0.663 us        0.656 us      1120000
Benchmarks::Point::Create_OversizedModelspace<3, false>/20            0.742 us        0.732 us       896000
Benchmarks::Point::Create_OversizedModelspace<3, false>/50             1.47 us         1.48 us       497778
Benchmarks::Point::Create_OversizedModelspace<3, false>/100            2.02 us         2.04 us       344615
